feature,rss,gcv,nb_subset,timestep
CPY010_wl,0.98,0.98,0.18,1
CPY015_wl,0.01,0.01,0.18,1
PAS007_wl,0.01,0.01,0.09,1
CPY014_wl,0.00,0.00,0.18,1
Dam_SK_WaterVol,0.00,0.00,0.18,1
VLGE13_wl,0.00,0.00,0.18,1
VLGE36_rain,0.00,0.00,0.00,1
THA002_rain,0.00,0.00,0.00,1
VLGE04_rain,0.00,0.00,0.00,1
VLGE12_rain,0.00,0.00,0.00,1
VLGE13_rain,0.00,0.00,0.00,1
VLGE15_rain,0.00,0.00,0.00,1
VLGE25_rain,0.00,0.00,0.00,1
YOM005_rain,0.00,0.00,0.00,1
VLGE28_rain,0.00,0.00,0.00,1
YOM004_rain,0.00,0.00,0.00,1
YOM003_rain,0.00,0.00,0.00,1
TB0007_rain,0.00,0.00,0.00,1
WAN001_rain,0.00,0.00,0.00,1
WAN002_rain,0.00,0.00,0.00,1
YOM001_rain,0.00,0.00,0.00,1
WAN005_rain,0.00,0.00,0.00,1
NAN008_wl,0.05,0.05,0.09,2
PAS005_wl,0.01,0.01,0.04,2
PIN004_wl,0.01,0.01,0.09,2
PAS006_wl,0.00,0.00,0.09,2
NAN011_wl,0.00,0.00,0.09,2
BKK019_wl,0.00,0.00,0.09,2
DNP003_temp,0.00,0.00,0.09,2
CPY006_wl,0.00,0.00,0.09,2
BKK020_rain,0.00,0.00,0.09,2
CPY003_wl,0.00,0.00,0.09,2
DNP018_press,0.00,0.00,0.09,2
YOM002_rain,0.00,0.00,0.00,2
Dam_SK_Useable_WaterVol,0.02,0.02,0.07,3
Dam_KiewLom_Input_WaterVol,0.01,0.01,0.03,3
DNP032_humid,0.01,0.01,0.07,3
DIV006_wl,0.00,0.00,0.07,3
CPY001_wl,0.00,0.00,0.07,3
CPY009_temp,0.00,0.00,0.07,3
Dam_KheawNoi_Input_WaterVol,0.00,0.00,0.07,3
NAN013_wl,0.00,0.00,0.03,3
PAS002_wl,0.00,0.00,0.07,3
DNP031_rain,0.00,0.00,0.07,3
TB0004_wl,0.00,0.00,0.07,3
CPY011_rain,0.01,0.01,0.04,4
PAS008_wl,0.01,0.01,0.13,4
Dam_KheawNoi_Output_WaterVol,0.01,0.01,0.04,4
BKK021_wl,0.01,0.01,0.04,4
DNP055_humid,0.01,0.01,0.04,4
CPY011_wl,0.00,0.00,0.04,4
PIN005_wl,0.00,0.00,0.04,4
PIN001_rain,0.00,0.00,0.04,4
CPY009_wl,0.00,0.00,0.04,4
Dam_KheawNoi_Useable_WaterVol,0.00,0.00,0.04,4
YOM001_wl,0.00,0.00,0.04,4
DNP022_press,0.00,0.00,0.04,4
VLGE15_press,0.00,0.00,0.04,4
DIV002_wl,0.03,0.03,0.03,5
PAS004_wl,0.01,0.01,0.05,5
NAN001_wl,0.00,0.00,0.03,5
VLGE12_wl,0.00,0.00,0.03,5
NAN010_wl,0.00,0.00,0.03,5
DNP022_wl,0.00,0.00,0.03,5
THA001_wl,0.00,0.00,0.03,5
PAS003_wl,0.00,0.00,0.03,5
DNP032_rain,0.00,0.00,0.03,5
CPY017_wl,0.02,0.02,0.03,6
YOM008_wl,0.01,0.01,0.03,6
YOM009_wl,0.01,0.01,0.03,6
YOM003_wl,0.01,0.01,0.03,6
NAN009_wl,0.00,0.00,0.03,6
BKK007_wl,0.00,0.00,0.03,6
DNP008_press,0.00,0.00,0.03,6
DNP031_press,0.00,0.00,0.03,6
TB0005_press,0.00,0.00,0.03,6
PAS009_wl,0.09,0.09,0.06,7
CPY016_wl,0.09,0.09,0.06,7
CPY008_wl,0.02,0.02,0.03,7
YOM006_wl,0.01,0.01,0.03,7
PIN003_wl,0.01,0.01,0.03,7
NAN006_wl,0.01,0.01,0.03,7
KWN002_wl,0.01,0.01,0.03,7
YOM012_wl,0.00,0.00,0.03,7
