feature,rss,gcv,nb_subset,timestep
CPY009_wl,0.93,0.93,0.08,1
DIV004_wl,0.03,0.03,0.20,1
WAN001_wl,0.01,0.01,0.08,1
CPY014_wl,0.01,0.01,0.08,1
PAS009_wl,0.00,0.00,0.08,1
PAS003_wl,0.00,0.00,0.08,1
CPY015_wl,0.00,0.00,0.08,1
Dam_BH_Useable_WaterVol,0.00,0.00,0.08,1
CPY016_wl,0.00,0.00,0.08,1
Dam_KheawNoi_Input_WaterVol,0.00,0.00,0.08,1
PAS008_wl,0.00,0.00,0.08,1
TB0004_rain,0.00,0.00,0.00,1
PAS006_rain,0.00,0.00,0.00,1
TB0005_rain,0.00,0.00,0.00,1
THA001_rain,0.00,0.00,0.00,1
PIN006_rain,0.00,0.00,0.00,1
PIN005_rain,0.00,0.00,0.00,1
PIN004_rain,0.00,0.00,0.00,1
THA002_rain,0.00,0.00,0.00,1
PIN003_rain,0.00,0.00,0.00,1
VLGE13_wl,0.06,0.06,0.06,2
NAN006_wl,0.03,0.03,0.06,2
CPY006_wl,0.01,0.01,0.06,2
DNP033_temp,0.01,0.01,0.06,2
DIV006_wl,0.00,0.00,0.06,2
CHM001_wl,0.00,0.00,0.03,2
CPY013_wl,0.00,0.00,0.06,2
CPY010_wl,0.00,0.00,0.06,2
KWN002_wl,0.00,0.00,0.06,2
Dam_KheawNoi_Useable_WaterVol,0.00,0.00,0.06,2
PAS005_rain,0.00,0.00,0.00,2
PAS007_rain,0.00,0.00,0.00,2
PAS008_rain,0.00,0.00,0.00,2
PIN002_rain,0.00,0.00,0.00,2
CPY001_wl,0.85,0.86,0.04,3
VLGE12_wl,0.02,0.02,0.04,3
LBI002_wl,0.01,0.01,0.04,3
CPY011_wl,0.01,0.01,0.04,3
VLGE13_humid,0.01,0.01,0.04,3
YOM007_wl,0.00,0.00,0.04,3
TB0004_wl,0.00,0.00,0.04,3
DNP032_wl,0.00,0.00,0.04,3
KWN001_wl,0.00,0.00,0.04,3
PAS006_wl,0.00,0.00,0.04,3
Dam_BH_Input_WaterVol,0.00,0.00,0.04,3
PAS002_wl,0.00,0.00,0.04,3
CPY009_temp,0.00,0.00,0.04,3
DNP028_press,0.00,0.00,0.04,3
NAN013_wl,0.02,0.02,0.03,4
DIV002_wl,0.02,0.02,0.03,4
Dam_SK_Useable_WaterVol,0.01,0.01,0.03,4
Dam_KheawNoi_Output_WaterVol,0.01,0.01,0.03,4
