feature,rss,gcv,nb_subset,timestep
CPY010_wl,0.98,0.98,0.18,1
CPY015_wl,0.01,0.01,0.18,1
PAS007_wl,0.01,0.01,0.09,1
CPY014_wl,0.00,0.00,0.18,1
Dam_SK_WaterVol,0.00,0.00,0.18,1
VLGE13_wl,0.00,0.00,0.18,1
VLGE36_rain,0.00,0.00,0.00,1
THA002_rain,0.00,0.00,0.00,1
VLGE04_rain,0.00,0.00,0.00,1
VLGE12_rain,0.00,0.00,0.00,1
VLGE13_rain,0.00,0.00,0.00,1
VLGE15_rain,0.00,0.00,0.00,1
VLGE25_rain,0.00,0.00,0.00,1
YOM005_rain,0.00,0.00,0.00,1
VLGE28_rain,0.00,0.00,0.00,1
YOM004_rain,0.00,0.00,0.00,1
YOM003_rain,0.00,0.00,0.00,1
TB0007_rain,0.00,0.00,0.00,1
WAN001_rain,0.00,0.00,0.00,1
WAN002_rain,0.00,0.00,0.00,1
YOM001_rain,0.00,0.00,0.00,1
WAN005_rain,0.00,0.00,0.00,1
CPY010_wl,0.92,0.93,0.09,2
NAN008_wl,0.05,0.05,0.09,2
PAS005_wl,0.01,0.01,0.04,2
PIN004_wl,0.01,0.01,0.09,2
PAS006_wl,0.00,0.00,0.09,2
NAN011_wl,0.00,0.00,0.09,2
BKK019_wl,0.00,0.00,0.09,2
DNP003_temp,0.00,0.00,0.09,2
CPY006_wl,0.00,0.00,0.09,2
BKK020_rain,0.00,0.00,0.09,2
CPY003_wl,0.00,0.00,0.09,2
DNP018_press,0.00,0.00,0.09,2
WAN001_rain,0.00,0.00,0.00,2
YOM001_rain,0.00,0.00,0.00,2
YOM004_rain,0.00,0.00,0.00,2
VLGE04_rain,0.00,0.00,0.00,2
VLGE12_rain,0.00,0.00,0.00,2
YOM003_rain,0.00,0.00,0.00,2
YOM002_rain,0.00,0.00,0.00,2
VLGE13_rain,0.00,0.00,0.00,2
WAN002_rain,0.00,0.00,0.00,2
NAN008_wl,0.85,0.85,0.07,3
CPY006_wl,0.10,0.10,0.07,3
Dam_SK_Useable_WaterVol,0.02,0.02,0.07,3
Dam_KiewLom_Input_WaterVol,0.01,0.01,0.03,3
DNP032_humid,0.01,0.01,0.07,3
DIV006_wl,0.00,0.00,0.07,3
CPY014_wl,0.00,0.00,0.07,3
CPY003_wl,0.00,0.00,0.07,3
CPY001_wl,0.00,0.00,0.07,3
CPY009_temp,0.00,0.00,0.07,3
Dam_KheawNoi_Input_WaterVol,0.00,0.00,0.07,3
PAS007_wl,0.00,0.00,0.07,3
NAN013_wl,0.00,0.00,0.03,3
PAS002_wl,0.00,0.00,0.07,3
DNP031_rain,0.00,0.00,0.07,3
TB0004_wl,0.00,0.00,0.07,3
VLGE13_rain,0.00,0.00,0.00,3
VLGE04_rain,0.00,0.00,0.00,3
THA002_rain,0.00,0.00,0.00,3
VLGE12_rain,0.00,0.00,0.00,3
NAN008_wl,0.85,0.86,0.06,4
Dam_SK_Useable_WaterVol,0.04,0.04,0.04,4
Dam_KiewLom_Input_WaterVol,0.03,0.03,0.04,4
CPY011_rain,0.01,0.01,0.04,4
PAS008_wl,0.01,0.01,0.13,4
NAN013_wl,0.01,0.01,0.04,4
Dam_KheawNoi_Output_WaterVol,0.01,0.01,0.04,4
BKK021_wl,0.01,0.01,0.04,4
DNP055_humid,0.01,0.01,0.04,4
CPY011_wl,0.00,0.00,0.04,4
PIN005_wl,0.00,0.00,0.04,4
PIN001_rain,0.00,0.00,0.04,4
VLGE28_rain,0.00,0.00,0.04,4
DIV006_wl,0.00,0.00,0.04,4
CPY014_wl,0.00,0.00,0.04,4
CPY009_wl,0.00,0.00,0.04,4
Dam_KheawNoi_Useable_WaterVol,0.00,0.00,0.04,4
YOM001_wl,0.00,0.00,0.04,4
DNP022_press,0.00,0.00,0.04,4
