feature,rss,gcv,nb_subset,timestep
CPY010_wl,0.88,0.88,0.09,1
CPY014_wl,0.09,0.09,0.22,1
CPY015_wl,0.14,0.14,0.11,2
BKK007_wl,0.03,0.03,0.26,2
GLF001_wl,0.01,0.01,0.11,2
CPY003_wl,0.0,0.0,0.11,2
PAS006_wl,0.0,0.0,0.11,2
DIV004_wl,0.0,0.0,0.11,2
CPY009_wl,0.91,0.91,0.05,4
DNP025_temp,0.0,0.0,0.11,4
CPY006_wl,0.83,0.83,0.19,7
CPY017_wl,0.0,0.0,0.11,13
NAN013_wl,0.58,0.58,0.03,29
KWN002_wl,0.18,0.18,0.07,34
YOM012_wl,0.39,0.39,0.02,40
NAN012_wl,0.16,0.16,0.04,40
NAN002_wl,0.12,0.12,0.02,41
YOM001_wl,0.43,0.43,0.04,43
DNP006_press,0.12,0.12,0.02,43
DNP017_press,0.15,0.16,0.02,44
NAN009_wl,0.18,0.18,0.02,46
DNP032_press,0.16,0.16,0.02,46
PAS005_wl,0.11,0.11,0.04,47
DNP004_press,0.14,0.14,0.02,48
DIV006_wl,0.33,0.33,0.02,50
NAN005_wl,0.17,0.17,0.02,51
BKK013_wl,0.34,0.34,0.03,54
DNP011_press,0.13,0.13,0.02,55
DNP028_press,0.13,0.13,0.03,59
DNP032_wl,0.18,0.18,0.12,66
YOM012_rain1h,0.14,0.14,0.06,70
KWN002_rain1h,0.22,0.22,0.14,71
