feature,rss,gcv,nb_subset,timestep
CPY010_wl,0.90,0.90,0.07,1
CPY013_wl,0.04,0.04,0.07,1
NAN008_wl,0.02,0.02,0.15,1
PAS009_wl,0.01,0.01,0.07,1
GLF001_wl,0.01,0.01,0.07,1
DNP001_temp,0.01,0.01,0.07,1
CPY011_wl,0.00,0.00,0.07,1
DNP025_temp,0.00,0.00,0.07,1
DNP007_press,0.00,0.00,0.07,1
PIN004_wl,0.00,0.00,0.07,1
BKK020_wl,0.00,0.00,0.07,1
BKK003_wl,0.00,0.00,0.04,1
CPY008_wl,0.00,0.00,0.07,1
DNP017_temp,0.00,0.00,0.00,1
DNP018_temp,0.00,0.00,0.00,1
DNP019_temp,0.00,0.00,0.00,1
DNP020_temp,0.00,0.00,0.00,1
DNP032_temp,0.00,0.00,0.00,1
DNP022_temp,0.00,0.00,0.00,1
DNP023_temp,0.00,0.00,0.00,1
DNP028_temp,0.00,0.00,0.00,1
DNP031_temp,0.00,0.00,0.00,1
DNP030_temp,0.00,0.00,0.00,1
CPY006_wl,0.85,0.86,0.12,2
CPY013_wl,0.08,0.08,0.06,2
BKK003_wl,0.02,0.02,0.06,2
DNP017_temp,0.01,0.01,0.06,2
CPY014_wl,0.01,0.01,0.09,2
PAS005_wl,0.01,0.01,0.06,2
NAN008_wl,0.01,0.01,0.06,2
PAS003_wl,0.00,0.00,0.06,2
DNP019_temp,0.00,0.00,0.06,2
YOM007_wl,0.00,0.00,0.06,2
DNP031_humid,0.00,0.00,0.06,2
GLF001_wl,0.00,0.00,0.06,2
BKK001_wl,0.00,0.00,0.06,2
PAS007_wl,0.00,0.00,0.06,2
DNP026_humid,0.00,0.00,0.06,2
DNP027_temp,0.00,0.00,0.00,2
DNP022_temp,0.00,0.00,0.00,2
CPY009_temp,0.00,0.00,0.00,2
DNP023_temp,0.00,0.00,0.00,2
DNP024_temp,0.00,0.00,0.00,2
DNP008_temp,0.00,0.00,0.00,2
YOM012_wl,0.00,0.00,0.00,2
CPY006_wl,0.86,0.86,0.06,3
CPY015_wl,0.10,0.10,0.06,3
GLF001_wl,0.01,0.01,0.06,3
PAS003_wl,0.01,0.01,0.06,3
DNP029_temp,0.01,0.01,0.06,3
PAS007_wl,0.00,0.00,0.06,3
CPY011_wl,0.00,0.00,0.10,3
BKK003_wl,0.00,0.00,0.06,3
PAS005_wl,0.00,0.00,0.06,3
DIV006_wl,0.00,0.00,0.06,3
DNP031_humid,0.00,0.00,0.06,3
CPY010_wl,0.00,0.00,0.06,3
DNP028_press,0.00,0.00,0.06,3
YOM009_wl,0.00,0.00,0.06,3
CPY013_wl,0.00,0.00,0.06,3
DNP008_temp,0.00,0.00,0.00,3
DNP003_temp,0.00,0.00,0.00,3
DNP002_temp,0.00,0.00,0.00,3
DNP001_temp,0.00,0.00,0.00,3
DNP024_temp,0.00,0.00,0.00,3
DNP027_temp,0.00,0.00,0.00,3
DNP023_temp,0.00,0.00,0.00,3
CPY009_temp,0.00,0.00,0.00,3
CPY006_wl,0.85,0.85,0.05,4
CPY008_wl,0.04,0.04,0.05,4
BKK019_wl,0.02,0.02,0.05,4
GLF001_wl,0.02,0.02,0.05,4
BKK007_wl,0.01,0.01,0.05,4
DNP007_temp,0.01,0.01,0.05,4
NAN008_wl,0.01,0.01,0.05,4
BKK021_wl,0.01,0.01,0.05,4
CPY014_wl,0.01,0.01,0.09,4
DNP025_temp,0.01,0.01,0.05,4
PIN004_wl,0.01,0.01,0.05,4
PAS005_wl,0.00,0.00,0.05,4
BKK005_wl,0.00,0.00,0.05,4
DNP017_press,0.00,0.00,0.05,4
PAS001_wl,0.00,0.00,0.05,4
DNP004_press,0.00,0.00,0.02,4
DNP024_humid,0.00,0.00,0.05,4
BKK013_wl,0.00,0.00,0.05,4
DNP005_temp,0.00,0.00,0.05,4
PIN001_wl,0.00,0.00,0.05,4
PAS002_wl,0.00,0.00,0.05,4
CPY006_wl,0.90,0.90,0.05,5
GLF001_wl,0.02,0.02,0.05,5
DNP023_temp,0.02,0.02,0.05,5
PAS008_wl,0.01,0.01,0.05,5
NAN008_wl,0.01,0.01,0.05,5
BKK019_wl,0.01,0.01,0.05,5
DNP025_humid,0.00,0.00,0.05,5
PAS006_wl,0.00,0.00,0.05,5
CPY010_wl,0.00,0.00,0.05,5
CPY008_wl,0.00,0.00,0.03,5
CHM004_wl,0.00,0.00,0.05,5
BKK002_wl,0.00,0.00,0.05,5
DNP018_press,0.00,0.00,0.05,5
DNP019_humid,0.00,0.00,0.05,5
CPY015_wl,0.00,0.00,0.05,5
NAN011_wl,0.00,0.00,0.05,5
DNP055_temp,0.00,0.00,0.05,5
CPY011_wl,0.00,0.00,0.05,5
DNP002_press,0.00,0.00,0.05,5
PAS005_wl,0.00,0.00,0.05,5
CPY006_wl,0.89,0.89,0.04,6
CPY008_wl,0.04,0.04,0.04,6
NAN008_wl,0.02,0.02,0.04,6
PAS008_wl,0.01,0.01,0.07,6
DNP004_humid,0.00,0.00,0.04,6
PAS009_wl,0.00,0.00,0.04,6
DNP006_temp,0.00,0.00,0.04,6
DNP025_temp,0.00,0.00,0.04,6
DNP017_temp,0.00,0.00,0.04,6
PIN001_wl,0.00,0.00,0.04,6
DNP004_press,0.00,0.00,0.04,6
CPY013_wl,0.00,0.00,0.04,6
WAN002_wl,0.00,0.00,0.04,6
CPY014_wl,0.00,0.00,0.04,6
YOM005_wl,0.00,0.00,0.04,6
DNP028_temp,0.00,0.00,0.04,6
DIV006_wl,0.00,0.00,0.04,6
LBI002_wl,0.00,0.00,0.04,6
DNP004_temp,0.00,0.00,0.04,6
YOM004_wl,0.00,0.00,0.04,6
PAS005_wl,0.00,0.00,0.04,6
CPY010_wl,0.00,0.00,0.04,6
CPY006_wl,0.85,0.85,0.05,7
BKK007_wl,0.08,0.08,0.05,7
CPY013_wl,0.02,0.02,0.05,7
DNP017_temp,0.01,0.01,0.05,7
DNP022_wl,0.01,0.01,0.05,7
NAN008_wl,0.01,0.01,0.05,7
PAS008_wl,0.01,0.01,0.05,7
PAS002_wl,0.00,0.00,0.05,7
CPY010_wl,0.00,0.00,0.05,7
DIV006_wl,0.00,0.00,0.05,7
PAS005_wl,0.00,0.00,0.05,7
BKK003_wl,0.00,0.00,0.05,7
DNP004_temp,0.00,0.00,0.05,7
DNP010_humid,0.00,0.00,0.05,7
DNP031_humid,0.00,0.00,0.05,7
DNP028_temp,0.00,0.00,0.05,7
BKK019_wl,0.00,0.00,0.03,7
PAS007_wl,0.00,0.00,0.05,7
GLF001_wl,0.00,0.00,0.05,7
DNP023_temp,0.00,0.00,0.00,7
DNP026_temp,0.00,0.00,0.00,7
CPY006_wl,0.90,0.90,0.04,8
DNP007_press,0.02,0.02,0.04,8
BKK007_wl,0.01,0.01,0.04,8
NAN008_wl,0.01,0.01,0.04,8
GLF001_wl,0.01,0.01,0.04,8
DNP001_temp,0.01,0.01,0.04,8
