feature,rss,gcv,nb_subset
CPY014_wl,0.69,0.74,0.05
CPY013_wl,0.09,0.09,0.03
GLF001_wl,0.09,0.09,0.06
Dam_BH_Useable_WaterVol,0.03,0.03,0.03
DIV005_wl,0.01,0.01,0.03
YOM003_wl,0.01,0.01,0.06
Dam_KiewLom_Useable_WaterVol,0.01,0.01,0.03
DNP004_press,0.01,0.01,0.06
DNP017_temp,0.01,0.00,0.03
WAN005_wl,0.01,0.00,0.03
PIN003_wl,0.01,0.00,0.06
DNP024_wl,0.00,0.00,0.06
DNP007_press,0.00,0.00,0.03
CPY010_wl,0.00,0.00,0.03
DNP017_rain,0.00,0.00,0.03
THA002_wl,0.00,0.00,0.03
DIV006_wl,0.00,0.00,0.03
PAS009_wl,0.00,0.00,0.03
DNP018_rain,0.00,0.00,0.03
DNP015_temp,0.00,0.00,0.03
DNP002_humid,0.00,0.00,0.03
WAN002_wl,0.00,0.00,0.03
VLGE12_wl,0.00,0.00,0.03
DNP032_press,0.00,0.00,0.03
DIV005_rain,0.00,0.00,0.03
NAN012_wl,0.00,0.00,0.03
DNP010_press,0.00,0.00,0.03
Dam_KheawNoi_Useable_WaterVol,0.12,0.13,0.03
CPY009_wl,0.03,0.04,0.02
YOM007_wl,0.02,0.02,0.05
PAS005_wl,0.02,0.02,0.03
PAS004_wl,0.01,0.01,0.03
DIV001_rain,0.01,0.01,0.02
DNP006_wl,0.01,0.01,0.02
VLGE25_press,0.01,0.01,0.02
PAS007_wl,0.01,0.01,0.02
DNP004_wl,0.01,0.01,0.01
PAS002_wl,0.01,0.00,0.02
TB0004_wl,0.01,0.00,0.02
PIN001_wl,0.01,0.00,0.02
KWN001_wl,0.01,0.00,0.02
DNP026_temp,0.00,0.00,0.03
NAN014_wl,0.00,0.00,0.02
BKK020_rain,0.00,0.00,0.02
NAN003_wl,0.00,0.00,0.02
Dam_SK_Output_WaterVol,0.00,0.00,0.02
LBI002_wl,0.00,0.00,0.02
NAN002_wl,0.00,0.00,0.02
DNP017_press,0.00,0.00,0.02
DNP002_press,0.00,0.00,0.02
TB0005_rain,0.00,0.00,0.02
VLGE12_press,0.00,0.00,0.02
DNP022_wl,0.00,0.00,0.02
NAN005_wl,0.00,0.00,0.02
Dam_BH_WaterVol,0.20,0.23,0.01
DNP013_temp,0.06,0.06,0.01
PAS006_wl,0.01,0.01,0.04
PIN006_wl,0.01,0.01,0.03
Dam_KheawNoi_Output_WaterVol,0.01,0.01,0.01
CPY012_wl,0.01,0.01,0.01
NAN004_wl,0.01,0.00,0.03
DIV004_wl,0.01,0.01,0.01
CHM001_wl,0.01,0.01,0.01
DIV003_wl,0.01,0.00,0.01
YOM009_wl,0.01,0.00,0.01
CPY006_wl,0.01,0.00,0.01
CPY017_wl,0.00,0.00,0.03
CPY016_rain,0.00,0.00,0.01
PIN001_rain,0.00,0.00,0.03
VLGE13_wl,0.00,0.00,0.01
CPY014_rain,0.00,0.00,0.01
Dam_KiewLom_Output_WaterVol,0.00,0.00,0.01
PIN005_wl,0.02,0.01,0.02
DNP028_press,0.01,0.01,0.01
PAS008_wl,0.01,0.01,0.02
Dam_KiewLom_WaterVol,0.01,0.01,0.01
CPY008_wl,0.01,0.01,0.02
YOM006_wl,0.00,0.00,0.02
PAS003_rain,0.00,0.00,0.02
DNP029_temp,0.00,0.00,0.02
DNP003_press,0.00,0.00,0.02
CPY016_wl,0.01,0.01,0.01
KWN002_wl,0.01,0.01,0.01
DNP022_press,0.01,0.01,0.01
YOM008_wl,0.01,0.01,0.01
NAN006_wl,0.01,0.00,0.01
WAN004_wl,0.01,0.00,0.03
Dam_SK_Input_WaterVol,0.00,0.00,0.01
CPY009_temp,0.00,0.00,0.03
NAN013_wl,0.00,0.00,0.03
NAN004_rain,0.00,0.00,0.01
PAS001_wl,0.00,0.00,0.01
DNP023_temp,0.00,0.00,0.01
DNP005_temp,0.00,0.00,0.01
PAS003_wl,0.19,0.22,0.03
DNP032_temp,0.04,0.04,0.01
YOM005_wl,0.02,0.02,0.01
Dam_BH_Input_WaterVol,0.02,0.01,0.03
NAN001_wl,0.01,0.01,0.01
NAN011_wl,0.01,0.00,0.04
CPY011_wl,0.01,0.01,0.01
DIV001_wl,0.01,0.01,0.01
NAN009_wl,0.01,0.01,0.01
YOM001_wl,0.01,0.00,0.01
VLGE12_temp,0.00,0.00,0.03
DNP028_rain,0.00,0.00,0.01
DNP010_temp,0.00,0.00,0.01
DNP019_press,0.00,0.00,0.01
Dam_SK_Useable_WaterVol,0.38,0.43,0.02
DIV002_wl,0.04,0.03,0.04
DNP025_temp,0.01,0.00,0.04
PIN004_wl,0.01,0.00,0.02
YOM002_wl,0.01,0.00,0.02
NAN008_wl,0.00,0.00,0.02
Dam_KiewKorMa_Output_WaterVol,0.00,0.00,0.02
DNP006_humid,0.00,0.00,0.02
