0,component_1,component_2,component_3,component_4,component_5,component_6,component_7,component_8,component_9,component_10,component_11,component_12,component_13,component_14
CPY008_wl,-52.603706,-2.9223506,-6.2223177,-13.631822,-22.92709,-10.401869,-23.009039,-7.252718,-22.157345,-5.597696,-7.5961976,-13.835882,-9.10869,6.8526715e-06
VLGE15_press,187.00826,-114.75061,-27.76022,-33.946297,-18.53519,-5.46835,-6.7906413,-1.8291355,0.35817945,1.3253196,-0.22683373,0.27703223,0.04910925,0.00017891743
NAN006_wl,-15.524836,0.98863655,35.70286,2.551665,-70.34363,63.790257,52.223972,23.164402,-3.9353619,-8.210729,4.7208214,0.32804295,-0.11064391,-1.1556782e-05
PAS008_wl,-19.728579,-23.309292,42.73908,-21.217451,74.18196,79.492386,-12.089164,-24.378092,8.796695,-3.242333,1.4257909,-3.9086268,-0.011001825,-1.7642975e-05
CPY017_wl,-29.881962,-8.392855,-43.13582,-37.49556,76.95148,-22.82743,43.26283,36.133644,-13.820883,5.0333576,-0.13666406,0.2933917,0.118291944,-1.6136095e-05
CPY006_wl,-53.69569,-5.820123,-6.7997766,-16.121185,-6.608626,-4.5131717,-5.7972007,-23.83002,-14.883936,-8.035024,-3.6136262,22.844015,-1.7160712,8.568168e-08
CPY014_wl,39.932907,-8.443862,130.30911,66.863716,18.286814,-52.07157,21.741657,-6.8229833,-2.4847076,1.3926412,-2.3483722,-0.67371106,0.2044481,-5.177036e-05
CPY011_wl,-47.224354,0.015914075,13.269663,-10.7501135,-16.754436,-10.245605,-28.231947,1.859057,-1.1169491,29.939156,22.12414,0.9868337,-1.0797393,4.8428774e-07
CPY010_wl,-53.3788,-3.7308,-2.7599041,-13.197896,-18.979053,-9.839967,-25.800947,-2.7674398,-14.250118,-6.2810297,-3.3078485,-6.119241,13.107972,3.3527613e-08
YOM009_wl,-39.783237,2.5020256,-56.276207,3.34871,-3.8140025,-41.749878,30.249987,-25.709337,21.076725,-22.230831,12.232242,-4.6357546,-0.4049,1.3746321e-06
PAS009_wl,35.90081,16.53418,-78.46019,133.09636,13.192024,26.916798,-14.4006815,5.3962893,-4.5901012,2.7250845,-0.46411145,0.97025084,0.020161867,3.0100346e-05
VLGE15_rain1h,135.25844,147.48149,2.2543802,-43.903847,1.8989666,-0.025240421,-8.679226,-1.5645148,-0.10565717,-2.1189344,0.107016206,0.32471937,0.0011590719,-2.244208e-05
NAN008_wl,-43.805187,9.063293,-26.004383,-11.107569,-23.923615,-1.0573364,25.750263,-14.520947,20.868858,28.211426,-17.740038,-0.90271115,0.6110016,-3.574416e-06
CPY012_wl,-42.474155,-9.215613,23.143673,-4.4886804,-2.625643,-11.999015,-48.42987,42.12182,26.244602,-12.91044,-5.1763005,4.0516357,-1.6810938,-3.1352974e-06
