0,component_1,component_2,component_3,component_4,component_5,component_6,component_7,component_8,component_9,component_10,component_11,component_12,component_13,component_14,component_15
NAN009_wl,-66.07256,-35.85566,-13.848824,25.143286,-8.290136,-36.425262,11.219711,-18.830564,40.747734,-19.790598,-12.237609,3.6964874,-31.177223,2.9847207,1.1705793e-05
KWN002_wl,82.43162,58.76943,63.056297,5.8493013,34.495583,-2.640637,-23.649693,34.28256,39.97224,-19.477846,8.562031,-0.47662362,0.553105,-5.433587,8.445792e-05
DNP007_temp,40.608105,-88.64748,-5.821079,-30.227549,69.16014,51.801727,33.20536,-20.330738,7.8734417,-0.208579,-0.5118465,1.8446206,-0.6968957,-5.280926,1.950562e-05
CPY015_wl,52.961998,34.005928,-52.046585,76.06041,-35.638664,62.519814,-4.7639427,0.79986,6.865077,-1.929621,1.3791991,-0.3339938,-0.2843363,-0.25931165,5.4191798e-05
CPY006_wl,-53.10091,5.8864436,0.92401785,-34.841404,-27.823402,10.920391,3.1024168,13.449611,23.242462,36.705128,30.96905,26.356157,-3.5075266,7.3426604,-4.7281384e-05
NAN011_wl,106.71819,-89.53809,-17.652323,30.43499,1.6190479,-50.74419,-6.4676642,15.742824,-28.902153,-2.7199752,19.075993,7.3125033,3.6482594,12.045715,3.4649856e-05
PIN004_wl,-0.964662,-49.851753,84.82929,20.282612,-45.370037,12.70301,18.403397,6.4260674,-18.218946,23.634176,-13.707682,-15.990863,-7.569404,-5.7819853,3.356859e-05
BKK013_wl,-57.035637,19.14815,0.800069,-15.303677,-4.085993,4.9190645,-21.945034,-19.335506,-36.883415,-22.928083,34.407448,-9.375065,-11.735122,-23.544676,-5.722046e-05
DIV006_wl,-56.72637,-22.624374,-38.633564,-0.34164065,29.220177,-9.567518,-48.870888,36.35363,-5.698145,23.734264,-25.851656,0.40043163,1.2148522,-19.94698,-2.5063753e-05
PAS006_wl,93.31922,-2.0266306,-10.6479435,-71.31193,-51.21313,0.5912223,-39.74664,-31.361753,7.679115,-7.0895247,-18.607151,-1.424379,3.6091588,4.0575213,2.829684e-05
NAN013_wl,-73.249794,-22.40771,-10.804473,9.2036,-7.6427135,-19.643574,8.769717,-12.848873,32.124474,-0.05607279,11.42068,-26.535652,34.31319,1.3480777,-1.8108636e-05
CPY017_wl,-59.7137,36.62741,5.1754184,-7.1184278,34.29094,17.50668,-22.577658,3.962235,-23.109636,0.15025422,-3.2516387,-15.213815,-8.051399,39.395706,-4.914403e-05
YOM012_wl,-68.77712,11.469517,33.431545,19.475416,-0.34553418,3.1137116,3.5033395,-14.592369,-21.307203,-24.219599,-17.592827,34.757282,21.375559,1.1846778,-2.1572225e-05
DNP028_press,55.26957,100.30387,-5.3527217,15.099934,31.629478,-37.257797,25.49466,-41.147594,-10.113436,32.365788,-4.8183827,0.21609372,-1.4166127,-6.1470027,1.1920929e-07
CPY012_wl,4.332094,44.740944,-33.409126,-42.404907,-20.005726,-7.7966366,64.32294,47.430584,-14.271585,-18.169678,-9.235603,-5.2331705,-0.27558318,-1.9646137,-9.525567e-06
