feature,rss,gcv,nb_subset
CPY014_wl,0.72,0.81,0.04
GLF001_wl,0.12,0.12,0.11
CPY012_wl,0.04,0.03,0.09
Dam_KheawNoi_Input_WaterVol,0.01,0.01,0.02
DIV004_rain,0.01,0.00,0.06
PAS008_wl,0.01,0.00,0.07
CPY013_wl,0.01,0.00,0.04
CPY010_wl,0.01,0.00,0.02
CPY011_wl,0.01,0.00,0.02
CPY009_temp,0.00,0.00,0.02
THA001_wl,0.00,0.00,0.03
NAN013_rain,0.00,0.00,0.02
DNP029_rain,0.00,0.00,0.02
WAN002_rain,0.00,0.00,0.02
NAN009_rain,0.00,0.00,0.02
THA002_wl,0.00,0.00,0.02
NAN003_wl,0.00,0.00,0.02
KWN001_rain,0.00,0.00,0.01
PAS003_rain,0.00,0.00,0.02
BKK020_rain,0.00,0.00,0.02
BKK013_rain,0.00,0.00,0.01
PAS004_rain,0.00,0.00,0.01
KWN001_wl,0.00,0.00,0.02
VLGE12_temp,0.00,0.00,0.02
DNP033_temp,0.00,0.00,0.02
YOM008_wl,0.00,0.00,0.02
PAS001_rain,0.00,0.00,0.02
DNP028_humid,0.00,0.00,0.02
