feature,rss,gcv,nb_subset
GLF001_wl,0.56,0.56,0.06
CPY014_wl,0.34,0.34,0.26
CPY010_wl,0.07,0.07,0.06
PAS008_wl,0.01,0.01,0.10
CPY006_wl,0.01,0.01,0.06
CPY013_wl,0.00,0.00,0.06
PAS009_wl,0.00,0.00,0.06
PIN003_wl,0.00,0.00,0.06
PAS007_wl,0.00,0.00,0.06
DNP022_wl,0.00,0.00,0.06
DNP007_press,0.00,0.00,0.06
PAS005_wl,0.00,0.00,0.06
DNP011_temp,0.00,0.00,0.00
DNP013_temp,0.00,0.00,0.00
DNP008_temp,0.00,0.00,0.00
DNP015_temp,0.00,0.00,0.00
DNP017_temp,0.00,0.00,0.00
DNP019_temp,0.00,0.00,0.00
DNP007_temp,0.00,0.00,0.00
DNP020_temp,0.00,0.00,0.00
