feature,rss,gcv,nb_subset,timestep
CPY006_wl,0.58,0.58,0.27,1
BKK002_wl,0.18,0.18,0.17,1
CPY015_wl,0.11,0.11,0.15,1
CPY006_wl,0.5,0.5,0.45,2
DIV004_wl,0.3,0.3,0.03,2
CPY015_wl,0.17,0.17,0.21,2
CPY006_wl,0.75,0.75,0.34,3
GLF001_wl,0.2,0.2,0.07,3
CPY006_wl,0.72,0.72,0.15,4
CPY006_wl,0.76,0.76,0.26,5
CPY006_wl,0.79,0.8,0.26,6
CPY006_wl,0.59,0.6,0.38,7
CPY015_wl,0.38,0.38,0.26,7
CPY006_wl,0.73,0.73,0.26,8
CPY006_wl,0.79,0.79,0.38,9
CPY006_wl,0.73,0.73,0.4,10
GLF001_wl,0.18,0.18,0.06,10
CPY006_wl,0.72,0.72,0.19,11
CPY006_wl,0.71,0.72,0.26,12
CPY015_wl,0.19,0.19,0.05,12
CPY006_wl,0.75,0.76,0.35,13
CPY006_wl,0.75,0.75,0.33,14
GLF001_wl,0.14,0.14,0.1,14
CPY006_wl,0.79,0.8,0.41,15
CPY006_wl,0.33,0.33,0.35,16
DNP007_temp,0.3,0.31,0.12,16
CPY004_wl,0.27,0.27,0.1,16
CPY006_wl,0.66,0.67,0.28,17
NAN012_wl,0.12,0.12,0.13,17
CPY006_wl,0.64,0.65,0.09,18
CPY006_wl,0.72,0.73,0.36,19
CPY006_wl,0.69,0.69,0.32,20
GLF001_wl,0.14,0.14,0.1,20
CPY006_wl,0.58,0.58,0.18,21
CPY006_wl,0.48,0.49,0.1,22
DNP006_temp,0.18,0.18,0.26,22
CPY006_wl,0.56,0.57,0.11,23
NAN011_wl,0.16,0.16,0.11,23
DNP006_temp,0.12,0.12,0.3,23
CPY006_wl,0.55,0.56,0.2,24
NAN011_wl,0.16,0.16,0.17,24
CPY006_wl,0.65,0.66,0.22,25
GLF001_wl,0.15,0.15,0.11,25
CPY006_wl,0.56,0.57,0.24,26
DNP007_humid,0.14,0.14,0.12,26
NAN011_wl,0.12,0.12,0.09,26
CPY006_wl,0.54,0.54,0.32,27
DIV001_wl,0.16,0.16,0.18,27
CPY006_wl,0.54,0.54,0.26,28
DIV001_wl,0.11,0.11,0.19,28
CPY006_wl,0.55,0.56,0.33,29
BKK001_wl,0.12,0.12,0.13,29
CPY006_wl,0.55,0.55,0.19,30
GLF001_wl,0.13,0.13,0.16,30
CPY015_wl,0.12,0.12,0.12,30
CPY006_wl,0.47,0.47,0.23,31
GLF001_wl,0.12,0.12,0.06,31
CPY006_wl,0.49,0.49,0.19,32
BKK001_wl,0.21,0.2,0.28,32
CPY006_wl,0.59,0.6,0.33,33
NAN011_wl,0.14,0.14,0.14,33
CHM002_wl,0.12,0.12,0.19,33
CPY006_wl,0.53,0.53,0.27,34
GLF001_wl,0.21,0.22,0.09,34
PIN004_wl,0.35,0.35,0.1,35
NAN012_wl,0.17,0.17,0.23,35
CPY015_wl,0.14,0.14,0.07,35
DNP004_temp,0.12,0.12,0.13,35
PAS007_wl,0.12,0.12,0.1,35
PIN004_wl,0.34,0.34,0.19,36
BKK013_wl,0.19,0.19,0.22,36
PAS006_wl,0.15,0.15,0.12,36
CPY015_wl,0.12,0.12,0.09,36
CPY006_wl,0.32,0.32,0.21,37
CPY015_wl,0.25,0.26,0.07,37
BKK013_wl,0.19,0.19,0.25,37
GLF001_wl,0.13,0.13,0.14,37
CPY006_wl,0.36,0.37,0.24,38
BKK013_wl,0.18,0.18,0.21,38
CPY015_wl,0.13,0.13,0.12,38
PAS006_wl,0.12,0.12,0.18,38
BKK013_wl,0.27,0.27,0.3,39
PAS006_wl,0.25,0.26,0.07,39
CPY015_wl,0.19,0.19,0.07,39
NAN011_wl,0.14,0.14,0.07,39
BKK013_wl,0.34,0.35,0.12,40
YOM012_wl,0.23,0.23,0.25,40
DNP010_temp,0.11,0.11,0.16,40
BKK013_wl,0.35,0.36,0.24,41
PIN004_wl,0.31,0.31,0.07,41
YOM012_wl,0.32,0.33,0.19,42
CPY015_wl,0.17,0.17,0.14,42
NAN012_wl,0.15,0.15,0.08,42
NAN009_wl,0.32,0.32,0.19,43
CPY006_wl,0.29,0.29,0.06,43
DIV001_wl,0.14,0.14,0.23,43
DIV006_wl,0.13,0.13,0.16,43
BKK002_wl,0.3,0.3,0.26,44
BKK013_wl,0.25,0.25,0.12,44
CHM002_wl,0.24,0.24,0.06,44
KWN002_wl,0.41,0.41,0.23,45
CPY015_wl,0.27,0.27,0.17,45
PAS006_wl,0.5,0.5,0.26,46
PAS006_wl,0.63,0.64,0.28,47
KWN002_wl,0.66,0.67,0.2,48
PAS006_wl,0.14,0.14,0.26,48
KWN002_wl,0.68,0.68,0.24,49
PAS006_wl,0.67,0.67,0.37,50
PAS006_wl,0.75,0.75,0.26,51
PAS006_wl,0.71,0.72,0.29,52
NAN009_wl,0.62,0.62,0.31,53
PAS006_wl,0.29,0.29,0.17,53
PAS006_wl,0.79,0.79,0.19,54
PAS006_wl,0.74,0.74,0.21,55
PAS006_wl,0.72,0.72,0.21,56
PAS006_wl,0.44,0.44,0.23,57
DIV006_wl,0.4,0.4,0.1,57
PAS006_wl,0.42,0.42,0.23,58
DNP028_press,0.38,0.38,0.03,58
PAS006_wl,0.44,0.44,0.22,59
DNP028_press,0.37,0.37,0.03,59
PAS006_wl,0.62,0.63,0.12,60
YOM012_wl,0.12,0.12,0.15,60
PAS006_wl,0.42,0.42,0.29,61
CPY017_wl,0.38,0.39,0.09,61
NAN011_wl,0.4,0.4,0.37,62
PAS007_wl,0.3,0.3,0.12,62
DIV003_wl,0.12,0.13,0.02,62
PAS006_wl,0.47,0.47,0.12,63
CPY015_wl,0.23,0.23,0.03,63
NAN013_wl,0.2,0.2,0.28,63
PAS006_wl,0.6,0.61,0.21,64
NAN009_wl,0.18,0.18,0.36,64
PAS006_wl,0.6,0.61,0.22,65
CPY015_wl,0.19,0.19,0.27,65
PAS006_wl,0.64,0.65,0.19,66
PAS006_wl,0.29,0.29,0.23,67
CPY004_wl,0.23,0.24,0.03,67
GLF001_wl,0.17,0.17,0.05,67
NAN013_wl,0.12,0.12,0.18,67
NAN009_wl,0.26,0.26,0.27,68
PAS006_wl,0.26,0.26,0.17,68
GLF001_wl,0.14,0.14,0.13,68
NAN009_wl,0.43,0.44,0.33,69
PAS006_wl,0.24,0.24,0.11,69
NAN013_wl,0.35,0.35,0.14,70
CPY015_wl,0.2,0.2,0.14,70
PAS006_wl,0.18,0.18,0.21,70
GLF001_wl,0.12,0.12,0.17,70
PAS006_wl,0.39,0.4,0.24,71
GLF001_wl,0.3,0.3,0.15,71
