feature,rss,gcv,nb_subset,timestep
CPY006_wl,0.94,0.94,0.26,1
CPY010_wl,0.44,0.44,0.13,5
PAS008_wl,0.44,0.44,0.06,5
CPY009_wl,0.75,0.75,0.05,17
DIV002_wl,0.13,0.13,0.1,21
DIV001_wl,0.13,0.13,0.28,26
NAN012_wl,0.2,0.2,0.14,29
NAN009_wl,0.16,0.16,0.22,31
YOM009_wl,0.36,0.36,0.09,36
DNP006_wl,0.52,0.52,0.3,38
YOM002_wl,0.54,0.54,0.19,39
NAN001_wl,0.14,0.14,0.06,41
CPY004_wl,0.29,0.29,0.1,42
PAS005_wl,0.14,0.14,0.15,42
CPY003_wl,0.14,0.14,0.19,45
PAS006_wl,0.39,0.39,0.23,53
Day,0.35,0.35,0.07,54
DIV006_wl,0.34,0.34,0.12,57
BKK013_wl,0.28,0.28,0.12,60
DNP006_press,0.12,0.12,0.25,60
THA002_wl,0.2,0.2,0.06,71
