feature,rss,gcv,nb_subset,timestep
CPY006_wl,0.75,0.75,0.07,1
GLF001_wl,0.15,0.15,0.12,2
CPY015_wl,0.24,0.24,0.21,3
BKK021_wl,0.36,0.36,0.15,16
WAN005_wl,0.35,0.35,0.06,16
BKK002_wl,0.13,0.13,0.13,19
DNP006_wl,0.13,0.13,0.1,21
NAN012_wl,0.13,0.13,0.18,26
NAN002_wl,0.16,0.16,0.32,27
NAN009_wl,0.12,0.12,0.26,29
CHM002_wl,0.12,0.12,0.16,29
DNP025_temp,0.11,0.11,0.13,29
WAN003_wl,0.48,0.48,0.13,34
YOM012_wl,0.46,0.46,0.44,36
DIV003_wl,0.29,0.29,0.02,36
DNP028_press,0.38,0.38,0.19,37
PIN004_wl,0.42,0.42,0.19,38
DIV006_wl,0.29,0.29,0.12,43
KWN002_wl,0.16,0.16,0.22,46
PAS006_wl,0.23,0.23,0.29,47
DNP006_press,0.18,0.18,0.13,51
BKK013_wl,0.17,0.17,0.12,52
DNP007_humid,0.14,0.14,0.03,54
PAS001_wl,0.18,0.18,0.11,56
NAN005_wl,0.14,0.14,0.18,61
CPY003_wl,0.27,0.27,0.03,64
NAN013_wl,0.16,0.16,0.23,69
Day,0.11,0.11,0.03,71
