feature,rss,gcv,nb_subset,timestep
CPY006_wl,0.75,0.75,0.07,1
CPY006_wl,0.73,0.73,0.21,2
GLF001_wl,0.15,0.15,0.12,2
CPY006_wl,0.69,0.69,0.12,3
CPY015_wl,0.24,0.24,0.21,3
CPY006_wl,0.81,0.81,0.17,4
CPY006_wl,0.83,0.83,0.26,5
CPY006_wl,0.83,0.84,0.16,6
CPY006_wl,0.76,0.76,0.36,7
GLF001_wl,0.14,0.14,0.14,7
CPY006_wl,0.81,0.81,0.16,8
CPY006_wl,0.83,0.83,0.24,9
CPY006_wl,0.79,0.79,0.23,10
CPY015_wl,0.11,0.11,0.03,10
CPY006_wl,0.74,0.74,0.27,11
GLF001_wl,0.11,0.11,0.1,11
CPY006_wl,0.75,0.75,0.2,12
CPY006_wl,0.77,0.77,0.21,13
CPY006_wl,0.75,0.75,0.2,14
CPY006_wl,0.75,0.75,0.2,15
BKK021_wl,0.36,0.36,0.15,16
WAN005_wl,0.35,0.35,0.06,16
CPY006_wl,0.14,0.14,0.24,16
CPY006_wl,0.76,0.77,0.26,17
CPY006_wl,0.74,0.74,0.28,18
CPY006_wl,0.5,0.5,0.1,19
CPY015_wl,0.17,0.17,0.1,19
BKK002_wl,0.13,0.13,0.13,19
CPY006_wl,0.67,0.67,0.08,20
CPY006_wl,0.56,0.56,0.32,21
DNP006_wl,0.13,0.13,0.1,21
CPY006_wl,0.71,0.71,0.19,22
CPY006_wl,0.61,0.61,0.23,23
CPY006_wl,0.69,0.69,0.39,24
CPY006_wl,0.65,0.66,0.32,25
BKK002_wl,0.11,0.11,0.14,25
CPY006_wl,0.59,0.59,0.24,26
NAN012_wl,0.13,0.13,0.18,26
CPY006_wl,0.55,0.55,0.12,27
NAN002_wl,0.16,0.16,0.32,27
CPY006_wl,0.51,0.51,0.06,28
NAN002_wl,0.16,0.16,0.31,28
NAN012_wl,0.11,0.11,0.11,28
CPY006_wl,0.58,0.59,0.13,29
NAN009_wl,0.12,0.12,0.26,29
CHM002_wl,0.12,0.12,0.16,29
DNP025_temp,0.11,0.11,0.13,29
CPY006_wl,0.57,0.57,0.15,30
CHM002_wl,0.19,0.18,0.31,30
NAN009_wl,0.12,0.12,0.13,30
CPY006_wl,0.54,0.54,0.21,31
CHM002_wl,0.16,0.16,0.26,31
NAN009_wl,0.13,0.13,0.18,31
CPY006_wl,0.46,0.46,0.15,32
NAN009_wl,0.13,0.13,0.21,32
CHM002_wl,0.13,0.13,0.21,32
CPY015_wl,0.11,0.11,0.03,32
CPY006_wl,0.48,0.48,0.08,33
NAN009_wl,0.2,0.2,0.17,33
CHM002_wl,0.13,0.13,0.17,33
WAN003_wl,0.48,0.48,0.13,34
BKK002_wl,0.14,0.14,0.1,34
WAN003_wl,0.53,0.53,0.29,35
GLF001_wl,0.12,0.12,0.03,35
DNP006_wl,0.12,0.12,0.16,35
YOM012_wl,0.46,0.46,0.44,36
DIV003_wl,0.29,0.29,0.02,36
YOM012_wl,0.4,0.4,0.31,37
DNP028_press,0.38,0.38,0.19,37
PIN004_wl,0.42,0.42,0.19,38
NAN009_wl,0.33,0.33,0.29,38
YOM012_wl,0.14,0.14,0.16,38
PIN004_wl,0.3,0.3,0.17,39
DNP006_wl,0.26,0.26,0.07,39
NAN009_wl,0.25,0.25,0.31,39
NAN009_wl,0.61,0.61,0.32,40
YOM012_wl,0.16,0.16,0.21,40
NAN009_wl,0.5,0.5,0.17,41
BKK002_wl,0.14,0.14,0.14,41
DNP028_press,0.13,0.13,0.08,41
NAN009_wl,0.54,0.54,0.26,42
DNP006_wl,0.17,0.17,0.17,42
DIV006_wl,0.29,0.29,0.12,43
DNP028_press,0.25,0.25,0.12,43
NAN009_wl,0.24,0.24,0.33,43
NAN009_wl,0.59,0.59,0.2,44
GLF001_wl,0.12,0.12,0.03,44
NAN009_wl,0.54,0.54,0.21,45
NAN009_wl,0.48,0.48,0.22,46
KWN002_wl,0.16,0.16,0.22,46
DNP025_temp,0.11,0.11,0.22,46
NAN009_wl,0.6,0.6,0.37,47
PAS006_wl,0.23,0.23,0.29,47
NAN009_wl,0.49,0.49,0.21,48
PAS006_wl,0.25,0.25,0.41,48
CPY006_wl,0.12,0.12,0.1,48
NAN009_wl,0.53,0.53,0.34,49
PAS006_wl,0.19,0.19,0.29,49
CPY006_wl,0.12,0.12,0.11,49
GLF001_wl,0.12,0.12,0.03,49
NAN009_wl,0.47,0.47,0.25,50
DNP028_press,0.18,0.18,0.19,50
GLF001_wl,0.14,0.14,0.03,50
NAN009_wl,0.45,0.45,0.23,51
DNP006_press,0.18,0.18,0.13,51
PAS006_wl,0.14,0.14,0.06,51
NAN009_wl,0.33,0.33,0.26,52
YOM012_wl,0.26,0.26,0.12,52
BKK013_wl,0.17,0.17,0.12,52
PAS006_wl,0.14,0.14,0.21,52
NAN009_wl,0.4,0.4,0.19,53
DNP028_press,0.28,0.28,0.22,53
DNP028_press,0.4,0.4,0.16,54
DNP007_humid,0.14,0.14,0.03,54
PAS006_wl,0.13,0.13,0.03,54
NAN009_wl,0.11,0.11,0.29,54
DNP028_press,0.48,0.48,0.26,55
NAN002_wl,0.11,0.11,0.14,55
DNP028_press,0.39,0.39,0.17,56
NAN009_wl,0.21,0.21,0.28,56
PAS001_wl,0.18,0.18,0.11,56
DNP028_press,0.65,0.65,0.16,57
DNP028_press,0.66,0.66,0.14,58
NAN002_wl,0.12,0.12,0.23,58
DNP028_press,0.64,0.64,0.27,59
DNP007_humid,0.16,0.16,0.07,59
DNP028_press,0.46,0.46,0.24,60
BKK013_wl,0.35,0.35,0.03,60
DNP028_press,0.51,0.51,0.24,61
NAN005_wl,0.14,0.14,0.18,61
