,date,Name,WaterVol,Useable_WaterVol,Input_WaterVol,Output_WaterVol,location
1,2010-01-01,เขื่อนภูมิพล,"8,508","4,708.00",2.96,20.02,North
2,2010-01-01,เขื่อนสิริกิติ์,"5,390","2,540.00",4.73,25.13,North
4,2010-01-01,เขื่อนกิ่วลม,85,81.00,0.26,0.12,North
6,2010-01-01,เขื่อนกิ่วคอหมา,123,116.00,0.04,0.25,North
7,2010-01-01,เขื่อนแควน้อย,540,504.00,1.32,4.32,North
48,2010-01-02,เขื่อนภูมิพล,"8,475","4,675.00",0.03,30.00,North
49,2010-01-02,เขื่อนสิริกิติ์,"5,374","2,524.00",3.12,18.12,North
51,2010-01-02,เขื่อนกิ่วลม,85,81.00,0.53,0.12,North
53,2010-01-02,เขื่อนกิ่วคอหมา,,116.00,0.04,0.25,North
54,2010-01-02,เขื่อนแควน้อย,534,498.00,0.27,6.05,North
95,2010-01-03,เขื่อนภูมิพล,"8,454","4,654.00",0.0,18.00,North
96,2010-01-03,เขื่อนสิริกิติ์,"5,361","2,511.00",7.05,20.07,North
98,2010-01-03,เขื่อนกิ่วลม,86,82.00,0.44,0.12,North
100,2010-01-03,เขื่อนกิ่วคอหมา,123,116.00,0.04,0.25,North
101,2010-01-03,เขื่อนแควน้อย,534,498.00,0.27,6.05,North
142,2010-01-04,เขื่อนภูมิพล,"8,440","4,640.00",5.02,18.00,North
143,2010-01-04,เขื่อนสิริกิติ์,"5,345","2,495.00",5.05,20.01,North
145,2010-01-04,เขื่อนกิ่วลม,86,82.00,0.38,0.12,North
147,2010-01-04,เขื่อนกิ่วคอหมา,121,115.00,0.05,0.25,North
148,2010-01-04,เขื่อนแควน้อย,525,489.00,2.69,6.05,North
189,2010-01-05,เขื่อนภูมิพล,"8,417","4,617.00",0.71,23.00,North
190,2010-01-05,เขื่อนสิริกิติ์,"5,327","2,477.00",3.03,19.91,North
192,2010-01-05,เขื่อนกิ่วลม,86,82.00,0.25,0.58,North
194,2010-01-05,เขื่อนกิ่วคอหมา,121,115.00,0.0,0.25,North
195,2010-01-05,เขื่อนแควน้อย,521,485.00,2.41,8.64,North
236,2010-01-06,เขื่อนภูมิพล,"8,384","4,584.00",6.3,38.00,North
237,2010-01-06,เขื่อนสิริกิติ์,"5,310","2,460.00",3.33,20.18,North
239,2010-01-06,เขื่อนกิ่วลม,85,81.00,0.46,0.86,North
241,2010-01-06,เขื่อนกิ่วคอหมา,121,115.00,0.05,0.25,North
242,2010-01-06,เขื่อนแควน้อย,515,479.00,2.2,8.64,North
283,2010-01-07,เขื่อนภูมิพล,"8,343","4,543.00",0.0,38.00,North
