,code,name,lat,long,tambon,amphoe,province,basin,region,station_type,text
731,BKK001_r,คลองลาดพร้าว ท้ายปตร.คลอง2,13.922468799999999,100.63436800000001,สายไหม,สายไหม,กรุงเทพมหานคร,แม่น้ำเจ้าพระยา,กรุงเทพมหานคร,W,"BKK001_rสายไหมสายไหม, กรุงเทพมหานครแม่น้ำเจ้าพระยา"
715,BKK002_r,คลองเปรมประชากร หลักหก,13.965649599999999,100.6025152,หลักหก,เมืองปทุมธานี,ปทุมธานี,แม่น้ำเจ้าพระยา,ภาคกลาง,W,"BKK002_rหลักหกเมืองปทุมธานี, ปทุมธานีแม่น้ำเจ้าพระยา"
743,BKK007_r,คลองอ้อมนนท์ บางใหญ่ (ถนนบางกรวย-ไทรน้อย),13.8709552,100.4362816,บางม่วง,บางใหญ่,นนทบุรี,แม่น้ำเจ้าพระยา,ภาคกลาง,W,"BKK007_rบางม่วงบางใหญ่, นนทบุรีแม่น้ำเจ้าพระยา"
691,BKK018_r,คลองพระพิมล (ไทรน้อย),13.974,100.31903359999998,ไทรน้อย,ไทรน้อย,นนทบุรี,แม่น้ำเจ้าพระยา,ภาคกลาง,W,"BKK018_rไทรน้อยไทรน้อย, นนทบุรีแม่น้ำเจ้าพระยา"
746,BKK019_r,คลองนราภิรมย์ (บางเลน),13.882104,100.2908736,นราภิรมย์,บางเลน,นครปฐม,แม่น้ำเจ้าพระยา,ภาคกลาง,W,"BKK019_rนราภิรมย์บางเลน, นครปฐมแม่น้ำเจ้าพระยา"
670,CHM002_r,ฮอด,18.1786016,98.6301824,หางดง,ฮอด,เชียงใหม่,แม่น้ำปิง,ภาคเหนือ,W,"CHM002_rหางดงฮอด, เชียงใหม่แม่น้ำปิง"
671,CHM004_r,เชียงดาว,19.367304,98.96888320000001,เชียงดาว,เชียงดาว,เชียงใหม่,แม่น้ำปิง,ภาคเหนือ,W,"CHM004_rเชียงดาวเชียงดาว, เชียงใหม่แม่น้ำปิง"
662,CHM006_r,จอมทอง,18.4232288,98.6981504,ข่วงเปา,จอมทอง,เชียงใหม่,แม่น้ำปิง,ภาคเหนือ,W,"CHM006_rข่วงเปาจอมทอง, เชียงใหม่แม่น้ำปิง"
722,CPY003_r,ปตร.มโนรมย์,15.327750400000001,100.10912640000001,วัดโคก,มโนรมย์,ชัยนาท,แม่น้ำเจ้าพระยา,ภาคกลาง,W,"CPY003_rวัดโคกมโนรมย์, ชัยนาทแม่น้ำเจ้าพระยา"
724,CPY004_r,สะพานธรรมจักร(วัดธรรมามูล),15.250318400000001,100.0834624,ธรรมามูล,เมืองชัยนาท,ชัยนาท,แม่น้ำเจ้าพระยา,ภาคกลาง,W,"CPY004_rธรรมามูลเมืองชัยนาท, ชัยนาทแม่น้ำเจ้าพระยา"
718,CPY009_r,คลองโผงเผง,14.415862400000002,100.4407104,บางหลวงโดด,บางบาล,พระนครศรีอยุธยา,แม่น้ำเจ้าพระยา,ภาคกลาง,W,"CPY009_rบางหลวงโดดบางบาล, พระนครศรีอยุธยาแม่น้ำเจ้าพระยา"
598,CPY010_r,คลองบางบาล,14.422966399999998,100.4818432,ไทรน้อย,บางบาล,พระนครศรีอยุธยา,แม่น้ำเจ้าพระยา,ภาคกลาง,W,"CPY010_rไทรน้อยบางบาล, พระนครศรีอยุธยาแม่น้ำเจ้าพระยา"
629,CPY015_r,สะพานกรุงเทพ,13.7003856,100.4928064,ดาวคะนอง,ธนบุรี,กรุงเทพมหานคร,แม่น้ำเจ้าพระยา,ภาคกลาง,W,"CPY015_rดาวคะนองธนบุรี, กรุงเทพมหานครแม่น้ำเจ้าพระยา"
