,code,name,lat,long,tambon,amphoe,province,basin,region,left_bank,right_bank,ground_level,rid_critical_level,text
151,BKK002_w,คลองเปรมประชากร หลักหก,13.965649599999999,100.6025152,หลักหก,เมืองปทุมธานี,ปทุมธานี,แม่น้ำเจ้าพระยา,ภาคกลาง,1.575,1.2919999999999998,-1.3719999999999999,,"BKK002_w หลักหกเมืองปทุมธานี, ปทุมธานีแม่น้ำเจ้าพระยา"
243,BKK004_w,คลองทวีวัฒนา ท้ายปตร.ทวีวัฒนา,13.7956448,100.33194240000002,ศาลาธรรมสพน์,ทวีวัฒนา,กรุงเทพมหานคร,แม่น้ำเจ้าพระยา,กรุงเทพมหานคร,1.422,1.8769999999999998,-1.835,,"BKK004_w ศาลาธรรมสพน์ทวีวัฒนา, กรุงเทพมหานครแม่น้ำเจ้าพระยา"
169,BKK007_w,คลองอ้อมนนท์ บางใหญ่ (ถนนบางกรวย-ไทรน้อย),13.8709552,100.4362816,บางม่วง,บางใหญ่,นนทบุรี,แม่น้ำเจ้าพระยา,ภาคกลาง,1.5919999999999999,1.7380000000000002,-3.2739999999999996,,"BKK007_w บางม่วงบางใหญ่, นนทบุรีแม่น้ำเจ้าพระยา"
132,BKK018_w,คลองพระพิมล (ไทรน้อย),13.974,100.31903359999998,ไทรน้อย,ไทรน้อย,นนทบุรี,แม่น้ำเจ้าพระยา,ภาคกลาง,4.05,4.36,-2.04,,"BKK018_w ไทรน้อยไทรน้อย, นนทบุรีแม่น้ำเจ้าพระยา"
172,BKK019_w,คลองนราภิรมย์ (บางเลน),13.882104,100.2908736,นราภิรมย์,บางเลน,นครปฐม,แม่น้ำเจ้าพระยา,ภาคกลาง,4.337,3.96,-1.59,,"BKK019_w นราภิรมย์บางเลน, นครปฐมแม่น้ำเจ้าพระยา"
121,CHM002_w,ฮอด,18.1786016,98.6301824,หางดง,ฮอด,เชียงใหม่,แม่น้ำปิง,ภาคเหนือ,297.439,298.077,290.7,,"CHM002_w หางดงฮอด, เชียงใหม่แม่น้ำปิง"
122,CHM004_w,เชียงดาว,19.367304,98.96888320000001,เชียงดาว,เชียงดาว,เชียงใหม่,แม่น้ำปิง,ภาคเหนือ,381.849,382.589,378.79900000000004,,"CHM004_w เชียงดาวเชียงดาว, เชียงใหม่แม่น้ำปิง"
116,CHM006_w,จอมทอง,18.4232288,98.6981504,ข่วงเปา,จอมทอง,เชียงใหม่,แม่น้ำปิง,ภาคเหนือ,277.20599999999996,277.253,267.778,,"CHM006_w ข่วงเปาจอมทอง, เชียงใหม่แม่น้ำปิง"
157,CPY003_w,ปตร.มโนรมย์,15.327750400000001,100.10912640000001,วัดโคก,มโนรมย์,ชัยนาท,แม่น้ำเจ้าพระยา,ภาคกลาง,18.214000000000002,18.648,12.193,,"CPY003_w วัดโคกมโนรมย์, ชัยนาทแม่น้ำเจ้าพระยา"
159,CPY004_w,สะพานธรรมจักร(วัดธรรมามูล),15.250318400000001,100.0834624,ธรรมามูล,เมืองชัยนาท,ชัยนาท,แม่น้ำเจ้าพระยา,ภาคกลาง,18.98,17.08,-0.8270000000000001,,"CPY004_w ธรรมามูลเมืองชัยนาท, ชัยนาทแม่น้ำเจ้าพระยา"
154,CPY009_w,คลองโผงเผง,14.415862400000002,100.4407104,บางหลวงโดด,บางบาล,พระนครศรีอยุธยา,แม่น้ำเจ้าพระยา,ภาคกลาง,4.316,4.5360000000000005,-5.407,4.6,"CPY009_w บางหลวงโดดบางบาล, พระนครศรีอยุธยาแม่น้ำเจ้าพระยา"
